// ~->[CASE-1]->~
DiaSemana   Hora   Appliance
Segunda   vinteDois   Fan
Segunda   vinteUm   Fan
Segunda   vinteUm   Shower
Segunda   vinteUm   Fan
Segunda   vinteUm   Fan
Segunda   vinte   Fan
Segunda   vinte   Fan
Segunda   vinte   Shower
Segunda   dezoito   Fridge
Sabado   onze   Shower
Sabado   onze   Fan
Segunda   dezoito   Fridge
Segunda   dezessete   Fridge
Sabado   onze   Shower
Segunda   dezessete   Fridge
Segunda   dezessete   Fan
Segunda   dezessete   Fridge
Segunda   dezessete   Fan
Segunda   dezessete   Fan
Segunda   dezessete   Fan
Segunda   dezesseis   Fan
Segunda   dezesseis   Fan
Segunda   dezesseis   Fan
Segunda   dezesseis   Fan
Segunda   dezesseis   Grill
Segunda   dezesseis   Fan
Segunda   quinze   Fridge
Segunda   quinze   Fan
Segunda   quinze   Fan
Segunda   quatorze   Fan
Segunda   quatorze   Fan
Segunda   quatorze   Shower
Segunda   quatorze   Fridge
Segunda   quatorze   Fridge
Segunda   doze   Fridge
Segunda   doze   Fridge
Segunda   doze   Fan
Segunda   doze   Fan
Segunda   doze   Shower
Segunda   doze   Fridge
Segunda   onze   Shower
Segunda   onze   Fan
Segunda   onze   Fan
Segunda   onze   Fridge
Segunda   dez   Fan
Segunda   dez   Fridge
Segunda   dez   Shower
Segunda   dez   Shower
Segunda   dez   Shower
Segunda   dez   Grill
Segunda   dez   Fan
Segunda   dez   Fan
Segunda   dez   Shower
Segunda   nove   Fridge
Segunda   nove   Shower
Segunda   nove   Fan
Segunda   seis   Fridge
Segunda   seis   Fan
Segunda   seis   Fridge
Segunda   cinco   Fridge
Segunda   quatro   Fridge
Segunda   tres   Fridge
Segunda   tres   Fridge
Segunda   dois   Fridge
Segunda   dois   Fan
Segunda   zero   Fan
Segunda   zero   Fan
Segunda   zero   Fan
Segunda   zero   Fridge
Domingo   vinteTres   Fan
Domingo   vinteTres   Fan
Domingo   vinteTres   Fan
Domingo   vinteTres   Fan
Domingo   vinteTres   Fridge
Domingo   vinteDois   Fan
Domingo   vinteDois   Shower
Domingo   vinteDois   Fan
Domingo   vinteDois   Fan
Domingo   vinteDois   Fan
Domingo   vinteDois   Fan
Domingo   vinteDois   Fan
Domingo   vinteDois   Fridge
Domingo   vinteUm   Fridge
Domingo   dezenove   Fridge
Domingo   dezenove   Fan
Domingo   dezenove   Fan
Domingo   dezoito   Fridge
Domingo   dezoito   Fan
Domingo   dezoito   Fan
Domingo   dezoito   Shower
Domingo   dezessete   Fridge
Domingo   dezesseis   Shower
Domingo   dezesseis   Fridge
Domingo   dezesseis   Fan
Domingo   quinze   Fridge
Domingo   quinze   Fan
Domingo   quinze   Fan
Domingo   quinze   Fan
