%%Dados do NIALM de alguns equipamentos de uma residência
% Fan = 1
% Shower = 2
% Fridge = 3
% SmallFridge = 4
% Grill = 5
% Toaster = 6
% AirConditioning = 7
% Desktop_Computer = 8
% Other = 9
% Microwave = 10
%
% Fan,Shower,Fridge,SmallFridge,Grill,Toaster,AirConditioning,Desktop_Computer,Other,Microwave

@relation nialm_data

@attribute diaSemana {Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo}
@attribute hora {00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute Appliance {Fan,Shower,Fridge,SmallFridge,Grill,Toaster,AirConditioning,Desktop_Computer,Other,Microwave}

@data
Sabado,02,SmallFridge
Sabado,03,SmallFridge
Sabado,04,SmallFridge
Sabado,05,SmallFridge
Sabado,05,SmallFridge
Sabado,08,SmallFridge
Sabado,08,SmallFridge
Sabado,09,AirConditioning
Sabado,09,AirConditioning
Sabado,09,SmallFridge
Sabado,10,SmallFridge
Sabado,10,AirConditioning
Sabado,10,AirConditioning
Sabado,10,AirConditioning
Sabado,10,SmallFridge
Sabado,10,SmallFridge
Sabado,11,Shower
Sabado,11,Fan
Sabado,11,AirConditioning
Sabado,11,SmallFridge
Sabado,11,AirConditioning
Sabado,11,AirConditioning
Sabado,11,Shower
Sabado,12,SmallFridge
Sabado,13,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,14,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,15,AirConditioning
Sabado,16,SmallFridge
Sabado,18,SmallFridge
Sabado,20,SmallFridge
Sabado,21,SmallFridge
Sabado,21,SmallFridge
Sabado,21,AirConditioning
Sabado,21,Shower
Sabado,21,Fan
Sabado,21,Fan
Sabado,21,Fan
Sabado,21,AirConditioning
Sabado,21,Shower
Sabado,21,Fan
Sabado,21,Fan
Sabado,21,Fan
Sabado,21,Fan
Sabado,21,AirConditioning
Sabado,21,AirConditioning
Sabado,21,AirConditioning
Sabado,22,Fan
Sabado,22,Shower
Sabado,22,SmallFridge
Sabado,22,AirConditioning
Sabado,22,AirConditioning
Sabado,22,AirConditioning
Sabado,22,AirConditioning
Sabado,23,AirConditioning
Sabado,23,AirConditioning
Sabado,23,SmallFridge
Domingo,00,AirConditioning
Domingo,00,SmallFridge
Domingo,02,SmallFridge
Domingo,03,SmallFridge
Domingo,03,SmallFridge
Domingo,04,SmallFridge
Domingo,06,SmallFridge
Domingo,07,SmallFridge
Domingo,08,SmallFridge
Domingo,09,AirConditioning
Domingo,09,SmallFridge
Domingo,09,AirConditioning
Domingo,09,AirConditioning
Domingo,09,AirConditioning
Domingo,10,AirConditioning
Domingo,10,SmallFridge
Domingo,10,AirConditioning
Domingo,10,AirConditioning
Domingo,10,AirConditioning
Domingo,10,AirConditioning
Domingo,11,SmallFridge
Domingo,11,Shower
Domingo,11,SmallFridge
Domingo,11,SmallFridge
Domingo,13,SmallFridge
Domingo,14,AirConditioning
Domingo,14,AirConditioning
Domingo,14,SmallFridge
Domingo,14,AirConditioning
Domingo,14,AirConditioning
Domingo,15,SmallFridge
Domingo,15,SmallFridge
Domingo,15,SmallFridge
Domingo,16,SmallFridge
Domingo,17,SmallFridge
Domingo,18,SmallFridge
Domingo,19,SmallFridge
Domingo,20,SmallFridge
Domingo,21,Shower
Domingo,21,AirConditioning
Domingo,21,AirConditioning
Domingo,21,Fan
Domingo,21,AirConditioning
Domingo,21,AirConditioning
Domingo,21,AirConditioning
Domingo,21,AirConditioning
Domingo,21,AirConditioning
Domingo,21,AirConditioning
Domingo,22,Shower
Domingo,22,AirConditioning
Domingo,22,SmallFridge
Domingo,23,AirConditioning
Domingo,23,AirConditioning
Domingo,23,SmallFridge
Segunda,00,SmallFridge
Segunda,00,AirConditioning
Segunda,00,AirConditioning
Segunda,00,AirConditioning
Segunda,02,SmallFridge
Segunda,03,SmallFridge
Segunda,04,SmallFridge
Segunda,05,SmallFridge
Segunda,06,SmallFridge
Segunda,06,SmallFridge
Segunda,07,SmallFridge
Segunda,08,SmallFridge
Segunda,09,AirConditioning
Segunda,09,SmallFridge
Segunda,09,Shower
Segunda,09,Fan
Segunda,09,AirConditioning
Segunda,09,AirConditioning
Segunda,09,AirConditioning
Segunda,10,AirConditioning
Segunda,10,AirConditioning
Segunda,10,Fan
Segunda,10,AirConditioning
Segunda,10,AirConditioning
Segunda,10,SmallFridge
Segunda,10,AirConditioning
Segunda,11,SmallFridge
Segunda,11,Shower
Segunda,11,Shower
Segunda,12,AirConditioning
Segunda,12,AirConditioning
Segunda,12,AirConditioning
Segunda,14,SmallFridge
Segunda,14,SmallFridge
Segunda,14,SmallFridge
Segunda,14,AirConditioning
Segunda,15,SmallFridge
Segunda,15,AirConditioning
Segunda,15,AirConditioning
Segunda,16,AirConditioning
Segunda,17,SmallFridge
Segunda,17,AirConditioning
Segunda,19,SmallFridge
Segunda,20,SmallFridge
Segunda,21,SmallFridge
Segunda,21,AirConditioning
Segunda,21,AirConditioning
Segunda,21,AirConditioning
Segunda,22,AirConditioning
Segunda,22,AirConditioning
Segunda,22,SmallFridge
Segunda,22,AirConditioning
Segunda,23,AirConditioning
Segunda,23,AirConditioning
Segunda,23,AirConditioning
Segunda,23,AirConditioning
Segunda,23,AirConditioning
Segunda,23,AirConditioning
Segunda,23,Fan
Terca,00,Shower
Terca,00,Shower
Terca,00,AirConditioning
Terca,00,AirConditioning
Terca,00,AirConditioning
Terca,00,Fan
Terca,00,Fan
Terca,01,AirConditioning
Terca,01,SmallFridge
Terca,03,SmallFridge
Terca,06,SmallFridge
Terca,06,SmallFridge
Terca,07,SmallFridge
Terca,08,SmallFridge
Terca,08,SmallFridge
Terca,09,Shower
Terca,09,Shower
Terca,09,Fan
Terca,09,AirConditioning
Terca,09,AirConditioning
